team_id,shortName,teamName,abbreviation,BackgroundColor,FontFolor,MainColor,AccentColor,PrimaryColor,SecondaryColor,Color3,Color4,Color5,Color6,Color7,Color8,Color9,LogoUrl,WordMarkURL,LogoURLDark,LogoURLLight,NHLWordMarkURL,URL
24,Anaheim,Ducks,ANA,#000000,#ffffff,#000000,#B9975B,#F47A38,#B9975B,#C1C6C8,#000,#00685E,##532A44,#FCC72C,#241E24,#FFFFFF,https://content.sportslogos.net/logos/1/1736/thumbs/173616512014.gif,https://content.sportslogos.net/logos/1/1736/full/2852_anaheim_ducks-secondary-20141.png,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/ducks/logos/ana-wordmark,https://www.nhl.com/ducks/
53,Arizona,Coyotes,ARI,#000000,#ffffff,#000000,#8C2633,#8C2633,#E2D6B5,#111111,#8C2633,#154734,#DDCBA4,#A9431E,#5F259F,#FFFFFF,https://content.sportslogos.net/logos/1/5263/thumbs/526382732022.gif,https://content.sportslogos.net/logos/1/5263/full/2177_arizona_coyotes-wordmark-2016.png,https://assets.nhle.com/logos/nhl/svg/ARI_dark.svg,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/coyotes/logos/ari-wordmark,https://www.nhl.com/coyotes/
6,Boston,Bruins,BOS,#000000,#ffffff,#000000,#FFB81C,#FFB81C,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/3/thumbs/335922024.gif,https://content.sportslogos.net/logos/1/3/full/bxl38eg7ucmy0qrurtk72ee4h.png,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/bruins/logos/bos-wordmark,https://www.nhl.com/bruins/
7,Buffalo,Sabres,BUF,#023086,#ffffff,#023086,#FFB81C,#003087,#FFB81C,#FFFFFF,#002654,#FCB514,#ADAFAA,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/4/thumbs/454932021.gif,https://content.sportslogos.net/logos/1/4/full/buffalo_sabres_logo_wordmark_2021_sportslogosnet-5680.png,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/sabres/logos/buf-wordmark,https://www.nhl.com/sabres/
20,Calgary,Flames,CGY,#c9102f,#ffffff,#c9102f,#FAAF19,#D2001C,#FAAF19,#FFFFFF,#C8102E,#F1BE48,#111111,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/5/thumbs/548202021.gif,https://content.sportslogos.net/logos/1/5/full/2286_calgary_flames-wordmark-2021.png,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,,https://www.nhl.com/flames/
12,Carolina,Hurricanes,CAR,#000000,#ffffff,#000000,#CE1126,#CE1126,#FFFFFF,#A4A9AD,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/6/thumbs/fotih31tn5r345nufo5xxayh3.gif,https://content.sportslogos.net/logos/1/6/full/8500_carolina_hurricanes-wordmark-2019.png,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/hurricanes/logos/car-wordmark,https://www.nhl.com/hurricanes/
16,Chicago,Blackhawks,CHI,#000000,#ffffff,#000000,#CF0A2C,#CF0A2C,#FF671B,#00833E,#FFD100,#D18A00,#001970,#000000,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/7/thumbs/56.gif,https://content.sportslogos.net/logos/1/7/full/60.png,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/blackhawks/logos/chi-wordmark,https://www.nhl.com/blackhawks/
21,Colorado,Avalanche,COL,#6f273d,#ffffff,#6f273d,#236192,#6F263D,#236192,#A2AAAD,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/8/thumbs/64.gif,https://content.sportslogos.net/logos/1/8/full/68.gif,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/avalanche/logos/col-wordmark,https://www.nhl.com/avalanche/
29,Columbus,Blue Jackets,CBJ,#003366,#ffffff,#003366,#CE1126,#002654,#CE1126,#A4A9AD,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/9/thumbs/jhepegs329pc7ugyypebl28wg.gif,https://content.sportslogos.net/logos/1/9/full/6344_columbus_blue_jackets-wordmark-2018.png,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/bluejackets/logos/cbj-wordmark,https://www.nhl.com/bluejackets/
25,Dallas,Stars,DAL,#00833c,#ffffff,#00833c,#8F8F8C,#006847,#8F8F8C,#111111,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/10/thumbs/1043322022.gif,https://content.sportslogos.net/logos/1/10/full/6491_dallas_stars-wordmark-2014.png,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/stars/logos/dal-wordmark,https://www.nhl.com/stars/
