Pos,Team,Conference,Division,team_id,GP,W,L,OTL,RW,GF,GA,GD,PCT,season,Playoff Seed,PlayoffRound,Playoffs,RoundCategory,PlayoffRound_Cat,Playoff Seed_Cat,PlayoffSeedIndex
1,Boston Bruins,East,Atlantic,6,70,44,14,12,38,227,174,53,100,20192020,E4,R2,Y,3,Round 2 Loser,Conference 4 Seed,6
2,Tampa Bay Lightning,East,Atlantic,14,70,43,21,6,35,245,195,50,92,20192020,E2,SCW,Y,6,Stanley Cup Winner,Conference 2 Seed,8
1,Washington Capitals,East,Metropolitan,15,69,41,20,8,31,240,215,25,90,20192020,E3,R1,Y,2,Round 1 Loser,Conference 3 Seed,7
2,Philadelphia Flyers,East,Metropolitan,4,69,41,21,7,31,232,196,36,89,20192020,E1,R2,Y,3,Round 2 Loser,Conference 1 Seed,9
3,Pittsburgh Penguins,East,Metropolitan,5,69,40,23,6,29,224,196,28,86,20192020,E5,QR,Y,2,Qualifying Round Loser,Conference 5 Seed,5
4,Carolina Hurricanes,East,Metropolitan,12,68,38,25,5,27,222,193,29,81,20192020,E6,R1,Y,2,Round 1 Loser,Conference 6 Seed,4
5,New York Islanders,East,Metropolitan,2,68,35,23,10,24,192,193,−1,80,20192020,E7,CF,Y,4,Conference Final Loser,Conference 7 Seed,3
3,Toronto Maple Leafs,East,Atlantic,10,70,36,25,9,28,238,227,11,81,20192020,E8,QR,Y,2,Qualifying Round Loser,Conference 8 Seed,2
6,Columbus Blue Jackets,East,Metropolitan,29,70,33,22,15,25,180,187,−7,81,20192020,E9,R1,Y,2,Round 1 Loser,Qualifying Round,1
4,Florida Panthers,East,Atlantic,13,69,35,26,8,30,231,228,3,78,20192020,E10,QR,Y,2,Qualifying Round Loser,Qualifying Round,1
7,New York Rangers,East,Metropolitan,3,70,37,28,5,31,234,222,12,79,20192020,E11,QR,Y,2,Qualifying Round Loser,Qualifying Round,1
5,Montreal Canadiens,East,Atlantic,8,71,31,31,9,19,212,221,−9,71,20192020,E12,R1,Y,2,Round 1 Loser,Qualifying Round,1
